nombre,poblacion,superficie,continente
Venezuela,28870000,916546,America
Argentina,46200000,2779794,America
Chile,19492000,748397,America
Bolivia,12300000,1087321,America
Uruguay,3550000,178262,America
Paraguay,7353000,400531,America
Peru,34000000,1297179,America
Ecuador,18190000,256863,America
Colombia,52215000,1143366,America
Mexico,126705138,1955825,America
Estados Unidos,331893745,9833520,America
Canada,39000000,9904342,America
Nigeria,223804632,914147,Africa
Egipto,109300000,1001884,Africa
Algeria,45606480,2313610,Africa
Republica del Congo,102000000,2340261,Africa
Camerun,28000000,467428,Africa
Espana,47500000,497837,Europa
Francia,68050000,551695,Europa
Italia,59000000,300739,Europa
Inglaterra,56489800,130056,Europa
Portugal,10352042,88620,Europa
Ucrania,36744000,597102,Europa
Rusia,146074000,17098246,Europa
Alemania,83200000,356182,Europa
China,1412000000,9389687,Asia
Japon,125000000,370136,Asia
Corea del norte,26032000,122645,Asia
Corea del sur,51784000,100346,Asia
Tailandia,71600000,516710,Asia
Australia,26177413,7700199,Oceania
Brasil,216422446,8539438,America
Islandia,402000000,103000,Europa
